config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
64,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0127_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0128_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0129_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0130_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0131_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0132_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0133_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0134_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0135_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0136_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0137_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0138_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0139_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0140_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0141_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0142_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0143_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,256,0.0003,mse_scen,0.0,2000,0.0,run_0144_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0145_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0146_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0147_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0148_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0149_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0150_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0151_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0152_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0153_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0154_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0155_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
