candidate_name,controller_status,exitcode,group,launched_at,pid,replicate,run_id,running
batch16,queued,,06_batch_size,,,3,full_06_batch_size_batch16_rep03,false
batch16,queued,,06_batch_size,,,4,full_06_batch_size_batch16_rep04,false
batch32,queued,,06_batch_size,,,1,full_06_batch_size_batch32_rep01,false
batch32,queued,,06_batch_size,,,2,full_06_batch_size_batch32_rep02,false
batch32,queued,,06_batch_size,,,3,full_06_batch_size_batch32_rep03,false
batch32,queued,,06_batch_size,,,4,full_06_batch_size_batch32_rep04,false
depth5,queued,,07_deep_network,,,1,full_07_deep_network_depth5_rep01,false
depth5,queued,,07_deep_network,,,2,full_07_deep_network_depth5_rep02,false
depth5,queued,,07_deep_network,,,3,full_07_deep_network_depth5_rep03,false
depth5,queued,,07_deep_network,,,4,full_07_deep_network_depth5_rep04,false
depth5,queued,,07_deep_network,,,5,full_07_deep_network_depth5_rep05,false
depth6,queued,,07_deep_network,,,1,full_07_deep_network_depth6_rep01,false
depth6,queued,,07_deep_network,,,2,full_07_deep_network_depth6_rep02,false
depth6,queued,,07_deep_network,,,3,full_07_deep_network_depth6_rep03,false
depth6,queued,,07_deep_network,,,4,full_07_deep_network_depth6_rep04,false
depth6,queued,,07_deep_network,,,5,full_07_deep_network_depth6_rep05,false
depth7,queued,,07_deep_network,,,1,full_07_deep_network_depth7_rep01,false
depth7,queued,,07_deep_network,,,2,full_07_deep_network_depth7_rep02,false
depth7,queued,,07_deep_network,,,3,full_07_deep_network_depth7_rep03,false
depth7,queued,,07_deep_network,,,4,full_07_deep_network_depth7_rep04,false
depth7,queued,,07_deep_network,,,5,full_07_deep_network_depth7_rep05,false
depth8,queued,,07_deep_network,,,1,full_07_deep_network_depth8_rep01,false
depth8,queued,,07_deep_network,,,2,full_07_deep_network_depth8_rep02,false
depth8,queued,,07_deep_network,,,3,full_07_deep_network_depth8_rep03,false
depth8,queued,,07_deep_network,,,4,full_07_deep_network_depth8_rep04,false
depth8,queued,,07_deep_network,,,5,full_07_deep_network_depth8_rep05,false
width64,queued,,08_wide_network,,,1,full_08_wide_network_width64_rep01,false
width64,queued,,08_wide_network,,,2,full_08_wide_network_width64_rep02,false
width64,queued,,08_wide_network,,,3,full_08_wide_network_width64_rep03,false
width64,queued,,08_wide_network,,,4,full_08_wide_network_width64_rep04,false
width64,queued,,08_wide_network,,,5,full_08_wide_network_width64_rep05,false
width256,queued,,08_wide_network,,,1,full_08_wide_network_width256_rep01,false
width256,queued,,08_wide_network,,,2,full_08_wide_network_width256_rep02,false
width256,queued,,08_wide_network,,,3,full_08_wide_network_width256_rep03,false
width256,queued,,08_wide_network,,,4,full_08_wide_network_width256_rep04,false
width256,queued,,08_wide_network,,,5,full_08_wide_network_width256_rep05,false
width512,queued,,08_wide_network,,,1,full_08_wide_network_width512_rep01,false
width512,queued,,08_wide_network,,,2,full_08_wide_network_width512_rep02,false
width512,queued,,08_wide_network,,,3,full_08_wide_network_width512_rep03,false
width512,queued,,08_wide_network,,,4,full_08_wide_network_width512_rep04,false
width512,queued,,08_wide_network,,,5,full_08_wide_network_width512_rep05,false
width1024,queued,,08_wide_network,,,1,full_08_wide_network_width1024_rep01,false
width1024,queued,,08_wide_network,,,2,full_08_wide_network_width1024_rep02,false
width1024,queued,,08_wide_network,,,3,full_08_wide_network_width1024_rep03,false
width1024,queued,,08_wide_network,,,4,full_08_wide_network_width1024_rep04,false
width1024,queued,,08_wide_network,,,5,full_08_wide_network_width1024_rep05,false
